model,split,method,seed,forget_leakage,retain_accuracy,response_quality,forget_rq,retain_rq,n_forget,n_retain
Llama-2-7b-chat,copyright,GradDiff,1024,0.0,0.915,0.451,0.0,0.608,74,212
Llama-2-7b-chat,privacy,GradDiff,1024,0.0,0.843,0.518,0.018,1.028,110,108
Llama-2-7b-chat,copyright,NPO,42,0.689,1.741,1.157,1.243,1.127,74,212
Llama-2-7b-chat,privacy,NPO,42,0.682,1.093,1.881,1.782,1.981,110,108
Llama-2-7b-chat,copyright,NPO,123,0.716,1.722,1.192,1.365,1.132,74,212
Llama-2-7b-chat,privacy,NPO,123,0.691,1.157,1.849,1.709,1.991,110,108
Llama-2-7b-chat,copyright,NPO,456,0.838,1.717,1.189,1.324,1.142,74,212
Llama-2-7b-chat,privacy,NPO,456,0.691,1.102,1.826,1.655,2.0,110,108
Llama-2-7b-chat,copyright,NPO,789,0.703,1.778,1.21,1.27,1.189,74,212
Llama-2-7b-chat,privacy,NPO,789,0.818,1.12,1.881,1.773,1.991,110,108
Llama-2-7b-chat,copyright,NPO,1024,0.919,1.726,1.213,1.338,1.17,74,212
Llama-2-7b-chat,privacy,NPO,1024,0.809,1.12,1.917,1.845,1.991,110,108
Llama-2-7b-chat,copyright,SimNPO,42,0.027,1.67,0.801,0.041,1.066,74,212
Llama-2-7b-chat,privacy,SimNPO,42,0.545,1.38,1.156,0.473,1.852,110,108
Llama-2-7b-chat,copyright,SimNPO,123,0.054,1.731,0.85,0.041,1.132,74,212
Llama-2-7b-chat,privacy,SimNPO,123,0.491,1.398,1.06,0.336,1.796,110,108
Llama-2-7b-chat,copyright,SimNPO,456,0.041,1.755,0.85,0.041,1.132,74,212
Llama-2-7b-chat,privacy,SimNPO,456,0.591,1.454,1.174,0.482,1.88,110,108
Llama-2-7b-chat,copyright,SimNPO,789,0.095,1.75,0.836,0.041,1.113,74,212
Llama-2-7b-chat,privacy,SimNPO,789,0.636,1.407,1.229,0.573,1.898,110,108
Llama-2-7b-chat,copyright,SimNPO,1024,0.054,1.736,0.864,0.068,1.142,74,212
Llama-2-7b-chat,privacy,SimNPO,1024,0.655,1.472,1.528,1.082,1.981,110,108
Llama-2-7b-chat,copyright,RMU,42,0.041,1.009,0.825,0.176,1.052,74,212
Llama-2-7b-chat,privacy,RMU,42,0.064,0.046,0.206,0.245,0.167,110,108
Llama-2-7b-chat,copyright,RMU,123,0.014,1.028,0.78,0.135,1.005,74,212
Llama-2-7b-chat,privacy,RMU,123,0.1,0.065,0.229,0.236,0.222,110,108
Llama-2-7b-chat,copyright,RMU,456,0.027,0.967,0.706,0.149,0.901,74,212
Llama-2-7b-chat,privacy,RMU,456,0.036,0.065,0.193,0.173,0.213,110,108
Llama-2-7b-chat,copyright,RMU,789,0.054,0.981,0.745,0.095,0.972,74,212
Llama-2-7b-chat,privacy,RMU,789,0.073,0.083,0.229,0.245,0.213,110,108
Llama-2-7b-chat,copyright,RMU,1024,0.041,1.047,0.769,0.122,0.995,74,212
Llama-2-7b-chat,privacy,RMU,1024,0.055,0.102,0.225,0.218,0.231,110,108
Llama-2-7b-chat,copyright,PDU,42,0.027,1.59,0.675,0.014,0.906,74,212
Llama-2-7b-chat,privacy,PDU,42,0.036,1.176,0.757,0.027,1.5,110,108
Llama-2-7b-chat,copyright,PDU,123,0.0,1.651,0.745,0.0,1.005,74,212
Llama-2-7b-chat,privacy,PDU,123,0.064,1.12,0.803,0.064,1.556,110,108
Llama-2-7b-chat,copyright,PDU,456,0.0,1.524,0.636,0.0,0.858,74,212
Llama-2-7b-chat,privacy,PDU,456,0.064,1.083,0.752,0.045,1.472,110,108
Llama-2-7b-chat,copyright,PDU,789,0.0,1.599,0.713,0.0,0.962,74,212
Llama-2-7b-chat,privacy,PDU,789,0.018,0.991,0.725,0.009,1.454,110,108
Llama-2-7b-chat,copyright,PDU,1024,0.014,1.571,0.703,0.014,0.943,74,212
Llama-2-7b-chat,privacy,PDU,1024,0.036,1.065,0.789,0.055,1.537,110,108
Llama-2-7b-chat,copyright,BLADE,42,0.027,1.788,0.86,0.054,1.142,74,212
Llama-2-7b-chat,privacy,BLADE,42,0.255,1.472,1.106,0.309,1.917,110,108
Llama-2-7b-chat,copyright,BLADE,123,0.027,1.811,0.902,0.041,1.203,74,212
Llama-2-7b-chat,privacy,BLADE,123,0.264,1.491,1.06,0.227,1.907,110,108
Llama-2-7b-chat,copyright,BLADE,456,0.081,1.797,0.867,0.054,1.151,74,212
Llama-2-7b-chat,privacy,BLADE,456,0.291,1.361,0.982,0.209,1.769,110,108
Llama-2-7b-chat,copyright,BLADE,789,0.054,1.788,0.881,0.041,1.175,74,212
Llama-2-7b-chat,privacy,BLADE,789,0.236,1.454,1.05,0.255,1.861,110,108
Llama-2-7b-chat,copyright,BLADE,1024,0.027,1.745,0.888,0.054,1.179,74,212
Llama-2-7b-chat,privacy,BLADE,1024,0.309,1.519,1.096,0.327,1.88,110,108
